Image 1,Image 2,Menu,Winner,Num Voter,Num Vote 1,Num Vote 2
s1_1.jpg,s1_2.jpg,Sushi,1,57.0,36.0,21.0
s2_1.jpg,s2_2.jpg,Sushi,1,57.0,40.0,17.0
s3_1.jpg,s3_2.jpg,Sushi,1,57.0,38.0,19.0
s4_1.jpg,s4_2.jpg,Sushi,1,57.0,53.0,4.0
s5_1.jpg,s5_2.jpg,Sushi,1,57.0,49.0,8.0
s6_1.jpg,s6_2.jpg,Sushi,1,57.0,36.0,21.0
s7_1.jpg,s7_2.jpg,Sushi,2,57.0,3.0,54.0
s8_1.jpg,s8_2.jpg,Sushi,1,57.0,50.0,7.0
s9_1.jpg,s9_2.jpg,Sushi,1,57.0,51.0,6.0
s10_1.jpg,s10_2.jpg,Sushi,2,57.0,23.0,34.0
s11_1.jpg,s11_2.jpg,Sushi,1,57.0,35.0,22.0
s12_1.jpg,s12_2.jpg,Sushi,1,57.0,42.0,15.0
s13_1.jpg,s13_2.jpg,Sushi,2,57.0,22.0,35.0
s14_1.jpg,s14_2.jpg,Sushi,2,57.0,19.0,38.0
s15_1.jpg,s15_2.jpg,Sushi,1,57.0,36.0,21.0
s16_1.jpg,s16_2.jpg,Sushi,1,57.0,35.0,22.0
s17_1.jpg,s17_2.jpg,Sushi,1,57.0,33.0,24.0
s18_1.jpg,s18_2.jpg,Sushi,1,57.0,43.0,14.0
s19_1.jpg,s19_2.jpg,Sushi,1,57.0,32.0,25.0
s20_1.jpg,s20_2.jpg,Sushi,1,57.0,32.0,25.0
s21_1.jpg,s21_2.jpg,Sushi,1,57.0,31.0,26.0
s22_1.jpg,s22_2.jpg,Sushi,2,57.0,21.0,36.0
s23_1.jpg,s23_2.jpg,Sushi,2,57.0,27.0,30.0
s24_1.jpg,s24_2.jpg,Sushi,1,57.0,41.0,16.0
s25_1.jpg,s25_2.jpg,Sushi,2,57.0,24.0,33.0
s26_1.jpg,s26_2.jpg,Sushi,2,57.0,9.0,48.0
s27_1.jpg,s27_2.jpg,Sushi,1,57.0,52.0,5.0
s28_1.jpg,s28_2.jpg,Sushi,1,57.0,40.0,17.0
s29_1.jpg,s29_2.jpg,Sushi,1,57.0,30.0,27.0
s30_1.jpg,s30_2.jpg,Sushi,2,57.0,2.0,55.0
s31_1.jpg,s31_2.jpg,Sushi,2,57.0,23.0,34.0
s32_1.jpg,s32_2.jpg,Sushi,2,57.0,14.0,43.0
