Image 1,Image 2,Menu,Winner,Num Voter,Num Vote 1,Num Vote 2
r1_1.jpg,r1_2.jpg,Ramen,1,57.0,30.0,27.0
r2_1.jpg,r2_2.jpg,Ramen,2,57.0,24.0,33.0
r3_1.jpg,r3_2.jpg,Ramen,2,57.0,22.0,35.0
r4_1.jpg,r4_2.jpg,Ramen,2,57.0,9.0,48.0
r5_1.jpg,r5_2.jpg,Ramen,2,57.0,19.0,38.0
r6_1.jpg,r6_2.jpg,Ramen,1,57.0,30.0,27.0
r7_1.jpg,r7_2.jpg,Ramen,2,57.0,20.0,37.0
r8_1.jpg,r8_2.jpg,Ramen,2,57.0,17.0,40.0
r9_1.jpg,r9_2.jpg,Ramen,1,57.0,49.0,8.0
r10_1.jpg,r10_2.jpg,Ramen,1,57.0,29.0,28.0
r11_1.jpg,r11_2.jpg,Ramen,2,57.0,8.0,49.0
r12_1.jpg,r12_2.jpg,Ramen,1,57.0,37.0,20.0
r13_1.jpg,r13_2.jpg,Ramen,2,57.0,21.0,36.0
r14_1.jpg,r14_2.jpg,Ramen,2,57.0,23.0,34.0
r15_1.jpg,r15_2.jpg,Ramen,1,57.0,30.0,27.0
r16_1.jpg,r16_2.jpg,Ramen,1,57.0,52.0,5.0
r17_1.jpg,r17_2.jpg,Ramen,1,57.0,45.0,12.0
r18_1.jpg,r18_2.jpg,Ramen,2,57.0,17.0,40.0
r19_1.jpg,r19_2.jpg,Ramen,1,57.0,45.0,12.0
r20_1.jpg,r20_2.jpg,Ramen,2,57.0,19.0,38.0
r21_1.jpg,r21_2.jpg,Ramen,1,57.0,33.0,24.0
r22_1.jpg,r22_2.jpg,Ramen,2,57.0,14.0,43.0
r23_1.jpg,r23_2.jpg,Ramen,2,57.0,25.0,32.0
r24_1.jpg,r24_2.jpg,Ramen,1,57.0,32.0,25.0
r25_1.jpg,r25_2.jpg,Ramen,2,57.0,27.0,30.0
r26_1.jpg,r26_2.jpg,Ramen,2,57.0,14.0,43.0
r27_1.jpg,r27_2.jpg,Ramen,2,57.0,18.0,39.0
r28_1.jpg,r28_2.jpg,Ramen,1,57.0,39.0,18.0
r29_1.jpg,r29_2.jpg,Ramen,2,57.0,8.0,49.0
r30_1.jpg,r30_2.jpg,Ramen,1,57.0,44.0,13.0
r31_1.jpg,r31_2.jpg,Ramen,2,57.0,25.0,32.0
r32_1.jpg,r32_2.jpg,Ramen,2,57.0,5.0,52.0
r33_1.jpg,r33_2.jpg,Ramen,1,57.0,29.0,28.0
r34_1.jpg,r34_2.jpg,Ramen,2,57.0,28.0,29.0
r35_1.jpg,r35_2.jpg,Ramen,1,57.0,32.0,25.0
r36_1.jpg,r36_2.jpg,Ramen,2,57.0,8.0,49.0
r37_1.jpg,r37_2.jpg,Ramen,2,57.0,17.0,40.0
r38_1.jpg,r38_2.jpg,Ramen,2,57.0,10.0,47.0
r39_1.jpg,r39_2.jpg,Ramen,2,57.0,11.0,46.0
r40_1.jpg,r40_2.jpg,Ramen,2,57.0,23.0,34.0
r41_1.jpg,r41_2.jpg,Ramen,1,57.0,30.0,27.0
r42_1.jpg,r42_2.jpg,Ramen,1,57.0,38.0,19.0
r43_1.jpg,r43_2.jpg,Ramen,1,57.0,47.0,10.0
r44_1.jpg,r44_2.jpg,Ramen,2,57.0,19.0,38.0
r45_1.jpg,r45_2.jpg,Ramen,2,57.0,8.0,49.0
r46_1.jpg,r46_2.jpg,Ramen,1,57.0,48.0,9.0
r47_1.jpg,r47_2.jpg,Ramen,1,57.0,38.0,19.0
r48_1.jpg,r48_2.jpg,Ramen,2,57.0,18.0,39.0
r49_1.jpg,r49_2.jpg,Ramen,1,57.0,35.0,22.0
r50_1.jpg,r50_2.jpg,Ramen,2,57.0,25.0,32.0
r51_1.jpg,r51_2.jpg,Ramen,1,57.0,38.0,19.0
r52_1.jpg,r52_2.jpg,Ramen,2,57.0,10.0,47.0
r53_1.jpg,r53_2.jpg,Ramen,1,57.0,43.0,14.0
r54_1.jpg,r54_2.jpg,Ramen,1,57.0,33.0,24.0
r55_1.jpg,r55_2.jpg,Ramen,1,57.0,31.0,26.0
r56_1.jpg,r56_2.jpg,Ramen,1,57.0,34.0,23.0
r57_1.jpg,r57_2.jpg,Ramen,2,57.0,9.0,48.0
r58_1.jpg,r58_2.jpg,Ramen,2,57.0,2.0,55.0
r59_1.jpg,r59_2.jpg,Ramen,1,57.0,31.0,26.0
r60_1.jpg,r60_2.jpg,Ramen,2,57.0,20.0,37.0
r61_1.jpg,r61_2.jpg,Ramen,1,57.0,45.0,12.0
r62_1.jpg,r62_2.jpg,Ramen,2,57.0,15.0,42.0
r63_1.jpg,r63_2.jpg,Ramen,2,57.0,14.0,43.0
r64_1.jpg,r64_2.jpg,Ramen,1,57.0,37.0,20.0
r65_1.jpg,r65_2.jpg,Ramen,1,57.0,36.0,21.0
r66_1.jpg,r66_2.jpg,Ramen,1,57.0,45.0,12.0
r67_1.jpg,r67_2.jpg,Ramen,2,57.0,7.0,50.0
r68_1.jpg,r68_2.jpg,Ramen,1,57.0,39.0,18.0
r69_1.jpg,r69_2.jpg,Ramen,2,57.0,14.0,43.0
r70_1.jpg,r70_2.jpg,Ramen,1,57.0,38.0,19.0
r71_1.jpg,r71_2.jpg,Ramen,2,57.0,24.0,33.0
r72_1.jpg,r72_2.jpg,Ramen,1,57.0,31.0,26.0
r73_1.jpg,r73_2.jpg,Ramen,2,57.0,18.0,39.0
r74_1.jpg,r74_2.jpg,Ramen,2,57.0,18.0,39.0
r75_1.jpg,r75_2.jpg,Ramen,1,57.0,36.0,21.0
r76_1.jpg,r76_2.jpg,Ramen,1,57.0,34.0,23.0
r77_1.jpg,r77_2.jpg,Ramen,2,57.0,26.0,31.0
r78_1.jpg,r78_2.jpg,Ramen,2,57.0,25.0,32.0
r79_1.jpg,r79_2.jpg,Ramen,2,57.0,10.0,47.0
r80_1.jpg,r80_2.jpg,Ramen,1,57.0,45.0,12.0
r81_1.jpg,r81_2.jpg,Ramen,1,57.0,41.0,16.0
r82_1.jpg,r82_2.jpg,Ramen,1,57.0,44.0,13.0
r83_1.jpg,r83_2.jpg,Ramen,1,57.0,33.0,24.0
r84_1.jpg,r84_2.jpg,Ramen,1,57.0,42.0,15.0
r85_1.jpg,r85_2.jpg,Ramen,2,57.0,13.0,44.0
r86_1.jpg,r86_2.jpg,Ramen,2,57.0,11.0,46.0
r87_1.jpg,r87_2.jpg,Ramen,2,57.0,24.0,33.0
r88_1.jpg,r88_2.jpg,Ramen,1,57.0,31.0,26.0
r89_1.jpg,r89_2.jpg,Ramen,2,57.0,27.0,30.0
r90_1.jpg,r90_2.jpg,Ramen,1,57.0,31.0,26.0
r91_1.jpg,r91_2.jpg,Ramen,1,57.0,37.0,20.0
r92_1.jpg,r92_2.jpg,Ramen,2,57.0,21.0,36.0
r93_1.jpg,r93_2.jpg,Ramen,1,57.0,43.0,14.0
r94_1.jpg,r94_2.jpg,Ramen,1,57.0,34.0,23.0
r95_1.jpg,r95_2.jpg,Ramen,2,57.0,12.0,45.0
r96_1.jpg,r96_2.jpg,Ramen,2,57.0,15.0,42.0
r97_1.jpg,r97_2.jpg,Ramen,2,57.0,11.0,46.0
r98_1.jpg,r98_2.jpg,Ramen,2,57.0,20.0,37.0
r99_1.jpg,r99_2.jpg,Ramen,1,57.0,48.0,9.0
r100_1.jpg,r100_2.jpg,Ramen,2,57.0,18.0,39.0
84430619_250864489405363_1959860875934293042_n.jpg,87578397_1525013024332090_4643922563362928419_n.jpg,Ramen,2,,,
87405172_776045132919961_4978221120741961536_n.jpg,87404058_637395990421456_1813220378013752495_n.jpg,Ramen,1,,,
83840360_170498047715911_3514566923656672119_n.jpg,83076232_2609036959333753_8401795662560967130_n.jpg,Ramen,2,,,
84305897_221596552194123_1479691928995390738_n.jpg,83076232_2609036959333753_8401795662560967130_n.jpg,Ramen,2,,,
70499576_552557015511989_393928320450088101_n.jpg,73049986_1001468773521202_7996101210304759685_n.jpg,Ramen,1,,,
11379899_847157352041635_1130630752_n.jpg,10543922_450932588401336_739678509_n.jpg,Ramen,1,,,
